County,PublishAgency,PublishTime,SiteName,UVI,WGS84Lat,WGS84Lon
屏東縣,環境保護署,2018/7/11 20:00,屏東,0,22,120
高雄市,環境保護署,2018/7/11 20:00,橋頭,0,22,120
臺南市,環境保護署,2018/7/11 20:00,新營,0,23,120
嘉義縣,環境保護署,2018/7/11 20:00,朴子,0,23,120
嘉義縣,環境保護署,2018/7/11 20:00,塔塔加,0,23,120
嘉義縣,環境保護署,2018/7/11 18:00,阿里山,0,23,120
雲林縣,環境保護署,2018/7/11 20:00,斗六,0,23,120
南投縣,環境保護署,2018/7/11 20:00,南投,0,23,120
彰化縣,環境保護署,2018/7/11 20:00,彰化,0,24,120
臺中市,環境保護署,2018/7/11 20:00,沙鹿,0,24,120
苗栗縣,環境保護署,2018/7/11 20:00,苗栗,0,24,120
桃園市,環境保護署,2018/7/11 20:00,桃園,0,24,121
新北市,環境保護署,2018/7/11 20:00,板橋,0,25,121
新北市,環境保護署,2018/7/11 20:00,淡水,0,25,121
花蓮縣,中央氣象局,2018/7/11 20:00,花蓮,0,23,121
連江縣,中央氣象局,2018/7/11 20:00,馬祖,0,26,119
高雄市,中央氣象局,2018/7/11 20:00,高雄,0,22,120
南投縣,中央氣象局,2018/7/11 20:00,玉山,0,23,120
臺南市,中央氣象局,2018/7/11 20:00,臺南,0,22,120
新竹縣,中央氣象局,2018/7/11 20:00,新竹,0,24,121
臺北市,中央氣象局,2018/7/11 20:00,鞍部,0,25,121
屏東縣,中央氣象局,2018/7/11 20:00,恆春,0,22,120
臺北市,中央氣象局,2018/7/11 20:00,臺北,0,25,121
臺東縣,中央氣象局,2018/7/11 20:00,成功,0,23,121
基隆市,中央氣象局,2018/7/11 20:00,基隆,0,25,121
桃園市,中央氣象局,2018/7/11 20:00,新屋,0,25,121
臺東縣,中央氣象局,2018/7/11 20:00,蘭嶼,0,22,121
臺東縣,中央氣象局,2018/7/11 20:00,臺東,0,22,121
南投縣,中央氣象局,2018/7/11 20:00,日月潭,0,23,120
金門縣,中央氣象局,2018/7/11 20:00,金門,0,24,118
宜蘭縣,中央氣象局,2018/7/11 20:00,宜蘭,0,24,121
澎湖縣,中央氣象局,2018/7/11 20:00,澎湖,0,23,119
臺中市,中央氣象局,2018/7/11 20:00,臺中,0,24,120
嘉義市,中央氣象局,2018/7/11 20:00,嘉義,0,23,120
